iter	RMSE
486	0.399295374
487	0.3978070272
488	0.3971427908
489	0.3962820605
490	0.3959578186
491	0.3945802297
492	0.3943481392
493	0.392951875
494	0.3918335541
495	0.3907424866
496	0.3901117726
497	0.3885915137
498	0.3883721343
499	0.3871218044
500	0.3859734169
501	0.3852530418
502	0.3849735486
503	0.3838695983
504	0.3835890646
505	0.3823614397
506	0.3816828713
507	0.3804759692
508	0.3791921368
509	0.3783651503
510	0.3773748794
511	0.3761588881
512	0.3750183352
513	0.3740047798
514	0.3737414309
515	0.373482729
516	0.3723121668
517	0.3711860066
518	0.3699967924
519	0.3697426938
520	0.3694930493
521	0.3682082955
522	0.3674545716
523	0.3668124448
524	0.3665725
525	0.3657179342
526	0.3648581229
527	0.3634731123
528	0.3622607887
529	0.3615939654
530	0.3608342524
531	0.360241239
532	0.3594641317
533	0.3582248879
534	0.3573732636
535	0.356796066
536	0.3556066466
537	0.3548490794
538	0.3538093506
539	0.353249358
540	0.3523896578
541	0.3513168593
542	0.3505682908
543	0.3497807078
544	0.3488849278
545	0.3476609992
546	0.3469569065
547	0.3461344971
548	0.3451961346
549	0.3445758847
550	0.3436995213
551	0.3431395152
552	0.3425733963
553	0.3418212413
554	0.3412656276
555	0.3406899693
556	0.3394936012
557	0.3383906746
558	0.3377075218
559	0.337321301
560	0.3368149813
561	0.3356598326
562	0.3347643211
563	0.3342716547
564	0.3332431629
565	0.3328868963
566	0.3326507307
567	0.3318424151
568	0.3308582866
569	0.3301655997
570	0.3292611594
571	0.3288269734
572	0.3279595468
573	0.3272981332
574	0.3267425416
575	0.3256688211
576	0.3252132129
577	0.3248793766
578	0.3239470805
579	0.3232352501
580	0.3224554408
581	0.3214935382
582	0.3207044349
583	0.3202575506
584	0.3198702166
585	0.3193817314
586	0.3187781537
587	0.3180105015
588	0.3176180341
589	0.3169664337
590	0.3165410961
591	0.3161465336
592	0.3157149739
593	0.3152571328
594	0.3145703401
595	0.3136050212
596	0.3130129717
597	0.3126867156
598	0.3118522781
599	0.3114929645
600	0.3111860531
601	0.310679426
602	0.310016359
603	0.3096176165
604	0.3086792843
605	0.3079896649
606	0.3072247915
607	0.3068100952
608	0.3062069562
609	0.3058418652
610	0.3055169547
611	0.3050440351
612	0.3045169632
613	0.3036008417
614	0.3027613053
615	0.3018946426
616	0.3012825719
617	0.3009562014
618	0.3002605814
619	0.2996786754
620	0.2993629837
621	0.298729199
622	0.2980830137
623	0.2976493373
624	0.2972189393
625	0.296655896
626	0.2961288798
627	0.295426101
628	0.2948383106
629	0.2941989303
630	0.2935966471
631	0.2930812972
632	0.2926807698
633	0.2920837692
634	0.2918285576
635	0.2912740202
636	0.2909156779
637	0.2903736813
638	0.2899133169
639	0.2894991376
640	0.2890811106
641	0.2883424536
642	0.2877115716
643	0.2871520799
644	0.2868649723
645	0.2863484412
646	0.2860802625
647	0.2856569851
648	0.2850705146
649	0.2843740641
650	0.2837911041
651	0.2832285815
652	0.2828610793
653	0.2822043615
654	0.281781286
655	0.2812706793
656	0.2807506974
657	0.2800320871
658	0.2794471686
659	0.2792205219
660	0.2785815224
661	0.2780247166
662	0.2776057459
663	0.2767394351
664	0.2759900352
665	0.275442088
666	0.2751550449
667	0.2746561952
668	0.2743807685
669	0.27395428
670	0.2732615165
671	0.2729961625
672	0.2723339009
673	0.2720648863
674	0.2716699268
675	0.2711594302
676	0.2706616697
677	0.2699615687
678	0.2692819575
679	0.2689173181
680	0.2684533987
681	0.2680334928
682	0.267310072
683	0.2670357481
684	0.2665932057
685	0.2658188384
686	0.2652402831
687	0.2646242491
688	0.2641158318
689	0.2636974901
690	0.2633296701
691	0.2628947829
692	0.2624941986
693	0.2619090791
694	0.2613283566
695	0.2607730797
696	0.260306549
697	0.2597841061
698	0.2592542538
699	0.2589700758
700	0.2585387631
701	0.2582249284
702	0.2579034492
703	0.2573573854
704	0.2570743776
705	0.2568409442
706	0.2564389666
707	0.2559076854
708	0.2554240766
709	0.2552037676
710	0.2546280956
711	0.2542007427
712	0.2537345926
713	0.2532277969
714	0.2526380882
715	0.252144671
716	0.2515584352
717	0.2511397198
718	0.2505566823
719	0.2500823744
720	0.2498342587
721	0.2493185266
722	0.2487514317
723	0.2481515818
724	0.2477350022
725	0.2473547536
726	0.2469207085
727	0.2464724144
728	0.2460485787
729	0.2457065783
730	0.2452935708
731	0.2449390663
732	0.2444994549
733	0.244082548
734	0.2435000052
735	0.2431566718
736	0.2427756682
737	0.2423494035
738	0.2418599157
739	0.2415892889
740	0.2412053791
741	0.2409553
742	0.2406334195
743	0.2401788016
744	0.2398394911
745	0.2393611446
746	0.2389404477
747	0.2387667595
748	0.2383383582
749	0.238194367
750	0.2377708885
751	0.2375722719
752	0.2371902687
753	0.2370517255
754	0.2366692448
755	0.2364250591
756	0.2358878565
757	0.2356682104
758	0.2354249813
759	0.2350438361
760	0.2345753401
761	0.2342909082
762	0.2338453817
763	0.2334873414
764	0.2331925969
765	0.2328156738
766	0.2323772677
767	0.2320604492
768	0.2317443776
769	0.2315166928
770	0.231104212
771	0.2307337198
772	0.230375275
773	0.2299430162
774	0.229593388
775	0.2291246538
776	0.2287925757
777	0.2284294132
778	0.2278746703
779	0.22754675
780	0.2270850704
781	0.22671203
782	0.2262859264
783	0.225888643
784	0.2255263577
785	0.2251789467
786	0.2248471813
787	0.2243799226
788	0.2240264835
789	0.2236065709
790	0.2231376548
791	0.222832116
792	0.2224427928
793	0.2221791125
794	0.2217981038
795	0.2214386115
796	0.2210702862
797	0.2206403379
798	0.2203637613
799	0.2200400799
