iter	Passed	Remaining
405	6516	6324
406	6538	6313
407	6563	6305
408	6588	6298
409	6608	6285
410	6624	6270
411	6644	6257
412	6660	6241
413	6677	6225
414	6706	6221
415	6726	6208
416	6743	6193
417	6762	6179
418	6781	6166
419	6799	6151
420	6815	6135
421	6834	6121
422	6852	6107
423	6872	6094
424	6887	6077
425	6905	6062
426	6921	6046
427	6939	6031
428	6958	6018
429	6973	6000
430	6991	5985
431	7009	5970
432	7026	5955
433	7041	5938
434	7058	5922
435	7076	5907
436	7092	5891
437	7109	5876
438	7131	5863
439	7148	5849
440	7167	5834
441	7182	5817
442	7198	5801
443	7212	5782
444	7227	5766
445	7242	5748
446	7257	5731
447	7271	5713
448	7286	5695
449	7299	5677
450	7314	5659
451	7326	5640
452	7338	5621
453	7355	5606
454	7370	5588
455	7391	5575
456	7406	5559
457	7424	5543
458	7440	5527
459	7457	5511
460	7473	5495
461	7491	5480
462	7507	5464
463	7522	5447
464	7541	5433
465	7558	5417
466	7573	5400
467	7596	5388
468	7611	5371
469	7626	5354
470	7640	5337
471	7654	5318
472	7668	5301
473	7683	5284
474	7702	5269
475	7717	5253
476	7735	5237
477	7749	5220
478	7766	5204
479	7780	5186
480	7794	5169
481	7808	5151
482	7823	5134
483	7836	5116
484	7851	5099
485	7866	5082
486	7879	5064
487	7892	5046
488	7905	5027
489	7917	5009
490	7930	4990
491	7944	4973
492	7957	4955
493	7972	4938
494	7985	4920
495	7999	4903
496	8012	4884
497	8025	4866
498	8037	4848
499	8049	4829
500	8062	4811
501	8074	4793
502	8090	4776
503	8110	4763
504	8126	4747
505	8144	4732
506	8162	4717
507	8184	4704
508	8214	4696
509	8253	4693
510	8279	4682
511	8297	4667
512	8319	4654
513	8338	4639
514	8357	4624
515	8377	4610
516	8395	4595
517	8414	4581
518	8434	4566
519	8452	4551
520	8479	4540
521	8503	4528
522	8522	4513
523	8540	4498
524	8558	4483
525	8576	4467
526	8594	4452
527	8614	4437
528	8633	4422
529	8650	4406
530	8669	4391
531	8683	4374
532	8700	4358
533	8718	4343
534	8734	4326
535	8749	4309
536	8761	4290
537	8772	4272
538	8784	4253
539	8796	4235
540	8812	4218
541	8825	4200
542	8843	4185
543	8862	4170
544	8876	4153
545	8893	4137
546	8909	4120
547	8925	4104
548	8939	4086
549	8954	4070
550	8970	4053
551	8984	4036
552	8999	4019
553	9012	4001
554	9027	3985
555	9042	3968
556	9058	3951
557	9071	3934
558	9086	3917
559	9100	3900
560	9116	3884
561	9131	3866
562	9148	3850
563	9162	3834
564	9176	3816
565	9188	3798
566	9201	3781
567	9214	3763
568	9228	3746
569	9241	3729
570	9255	3712
571	9267	3694
572	9281	3676
573	9296	3660
574	9308	3642
575	9321	3625
576	9333	3607
577	9346	3589
578	9362	3573
579	9375	3556
580	9388	3538
581	9402	3521
582	9416	3505
583	9429	3487
584	9441	3469
585	9456	3453
586	9468	3435
587	9480	3417
588	9493	3400
589	9506	3383
590	9518	3366
591	9529	3348
592	9544	3331
593	9557	3314
594	9569	3296
595	9622	3293
596	9664	3286
597	9694	3274
598	9723	3262
599	9740	3246
600	9756	3230
601	9775	3215
602	9795	3200
603	9813	3184
604	9831	3168
605	9847	3152
606	9862	3135
607	9880	3120
608	9896	3103
609	9916	3088
610	9929	3071
611	9945	3055
612	9960	3038
613	9974	3021
614	9992	3005
615	10005	2988
616	10018	2971
617	10034	2955
618	10054	2939
619	10071	2924
620	10089	2908
621	10105	2891
622	10119	2875
623	10132	2857
624	10147	2841
625	10161	2824
626	10178	2808
627	10193	2791
628	10208	2775
629	10221	2758
630	10248	2744
631	10263	2728
632	10281	2712
633	10299	2696
634	10344	2688
635	10404	2683
636	10435	2670
637	10458	2655
638	10476	2639
639	10495	2623
640	10513	2607
641	10530	2591
642	10550	2575
643	10574	2561
644	10594	2545
645	10613	2530
646	10631	2513
647	10652	2498
648	10671	2482
649	10687	2466
650	10705	2450
651	10731	2435
652	10752	2420
653	10774	2405
654	10796	2390
655	10816	2374
656	10833	2358
657	10852	2342
658	10871	2326
659	10889	2309
660	10906	2293
661	10927	2278
662	10944	2261
663	10963	2245
664	10983	2229
665	10999	2213
666	11018	2197
667	11036	2180
668	11053	2164
669	11071	2148
670	11089	2132
671	11107	2115
672	11127	2099
673	11153	2085
674	11177	2069
675	11199	2054
676	11222	2038
677	11243	2023
678	11268	2008
679	11286	1991
680	11304	1975
681	11321	1958
682	11340	1942
683	11364	1927
684	11385	1911
685	11412	1896
686	11439	1881
687	11462	1865
688	11499	1852
689	11531	1838
690	11564	1824
691	11580	1807
692	11595	1790
693	11610	1773
694	11624	1756
695	11636	1738
696	11649	1721
697	11663	1704
698	11676	1687
699	11689	1669
700	11702	1652
701	11714	1635
702	11727	1618
703	11741	1601
704	11754	1583
705	11766	1566
706	11779	1549
707	11792	1532
708	11807	1515
709	11821	1498
710	11836	1481
711	11849	1464
712	11863	1447
713	11877	1430
714	11891	1413
715	11907	1396
716	11920	1379
717	11933	1362
718	11948	1346
719	11967	1329
720	11996	1314
721	12014	1297
722	12030	1281
723	12047	1264
724	12067	1248
725	12084	1231
726	12100	1215
727	12114	1198
728	12127	1181
