behavioral,ensemble_mae,ensemble_r2,pi_coverage,pi_width,q_hat
WITH,0.3880076769052494,0.9828833430729557,0.9694612503601268,4.900088720128508,0.7382064905338693
WITHOUT,0.3786930843633059,0.9828850006698824,0.9752232785940651,4.790451609765295,0.7704947303050722
