behavioral,ensemble_mae,ensemble_r2,pi_coverage,pi_width,q_hat
WITH,0.29895973299090917,0.9910177047550398,0.9734946701238836,4.681214960978408,0.629
WITHOUT,0.29882589390132375,0.991030252856975,0.9706136560069144,4.44266123137332,0.5354843852249392
